u,v,osmid_edge,name,real_distance_m,real_duration_s,real_speed_kmh,timestamp
81805393,11950483412,684766067,Phố Tây Sơn,15,14,3.857142857142857,2025-11-27 06:53:46.697971
81805393,1884765798,9964551,,927,225,14.832,2025-11-27 06:53:47.048040
81806535,1497544749,711106356,,38,8,17.1,2025-11-27 06:53:47.304342
81806535,5707161153,711106357,Phố Khâm Thiên,289,132,7.881818181818182,2025-11-27 06:53:47.493323
98026475,6677338241,1185723922,,614,113,19.561061946902655,2025-11-27 06:53:47.755667
98027697,4599745018,464925870,Phố Tôn Thất Tùng,31,13,8.584615384615384,2025-11-27 06:53:47.944698
98027697,7985603138,1158120935,Đường Trường Chinh,36,14,9.257142857142858,2025-11-27 06:53:48.208876
98027697,10130533953,1158120938,Phố Tôn Thất Tùng,721,312,8.319230769230769,2025-11-27 06:53:48.469344
98031401,6661055810,708944664,Phố Hoàng Cầu,0,10,0.0,2025-11-27 06:53:48.672491
98031401,8823455179,1298270940,Đường La Thành,273,72,13.65,2025-11-27 06:53:48.853681
98035472,309816683,705810326,Phố Huỳnh Thúc Kháng,722,172,15.111627906976747,2025-11-27 06:53:49.107557
98035472,12816414547,947077255,Phố Huỳnh Thúc Kháng,898,234,13.815384615384616,2025-11-27 06:53:49.279877
98035472,5718916293,947077256,Đường Nguyễn Chí Thanh,41,11,13.418181818181818,2025-11-27 06:53:49.455988
98041254,420456615,704701607,Đường Nguyễn Chí Thanh,13,5,9.360000000000001,2025-11-27 06:53:49.638266
98041254,420522002,38031007,Đường Láng,34,5,24.48,2025-11-27 06:53:49.829670
98041257,98041849,701426453,Đường Nguyễn Khang,29,13,8.03076923076923,2025-11-27 06:53:50.021189
98041257,5710673974,601999040,Đường Nguyễn Khang,22,4,19.8,2025-11-27 06:53:50.209849
98041257,5710673979,973485821,Đường Trần Duy Hưng,27,4,24.3,2025-11-27 06:53:50.446618
98041849,98041257,701426453,Đường Nguyễn Khang,29,6,17.4,2025-11-27 06:53:50.617644
98041849,5718871870,25953686,Đường Nguyễn Ngọc Vũ,21,4,18.900000000000002,2025-11-27 06:53:50.851330
98041849,733429120,"[701426458, 701436157, 37380383]","['Đường Nguyễn Chí Thanh', 'Đường Trần Duy Hưng', 'Cầu Trung Hòa']",65,32,7.3125,2025-11-27 06:53:51.027009
98041851,98041254,962493733,Đường Láng,1047,302,12.480794701986756,2025-11-27 06:53:51.262562
98041851,2084132002,1199890907,Đường Nguyễn Chí Thanh,38,6,22.8,2025-11-27 06:53:51.524975
98042270,309816682,770260028,,618,139,16.005755395683455,2025-11-27 06:53:51.717600
98042270,6677300866,"[929552585, 711526157, 711526158]",Đường Nguyễn Chí Thanh,296,70,15.222857142857144,2025-11-27 06:53:51.891985
106078638,6587651051,707852065,Đường Trần Duy Hưng,50,5,36.0,2025-11-27 06:53:52.056361
106078638,442990465,158632061,Phố Trung Kính,50,7,25.714285714285715,2025-11-27 06:53:52.296619
106108917,2174649904,219976145,Phố Võ Văn Dũng,39,13,10.8,2025-11-27 06:53:52.490188
