timestamp,edge_id,speed_kmh,duration_s,distance_m
2025-11-27 15:04:03.181495,81805393_11950483412,4.15,13,15
2025-11-27 15:04:03.467174,81805393_1884765798,12.05,277,927
2025-11-27 15:04:03.692623,81806535_1497544749,13.68,10,38
2025-11-27 15:04:03.972899,81806535_5707161153,10.2,102,289
2025-11-27 15:04:04.164553,98026475_6677338241,18.57,119,614
2025-11-27 15:04:04.409450,98027697_4599745018,9.3,12,31
2025-11-27 15:04:04.654419,98027697_7985603138,21.6,6,36
2025-11-27 15:04:04.918700,98027697_10130533953,14.26,182,721
2025-11-27 15:04:05.174584,98031401_6661055810,0.0,12,0
2025-11-27 15:04:05.390131,98031401_8823455179,11.43,86,273
2025-11-27 15:04:05.591746,98035472_309816683,14.52,179,722
2025-11-27 15:04:05.802653,98035472_12816414547,13.82,234,898
2025-11-27 15:04:05.993087,98035472_5718916293,18.45,8,41
2025-11-27 15:04:06.191367,98041254_420456615,9.36,5,13
2025-11-27 15:04:06.406978,98041254_420522002,24.48,5,34
2025-11-27 15:04:06.588506,98041257_98041849,10.44,10,29
2025-11-27 15:04:06.874100,98041257_5710673974,15.84,5,22
2025-11-27 15:04:07.042914,98041257_5710673979,32.4,3,27
2025-11-27 15:04:07.184234,98041849_98041257,10.44,10,29
2025-11-27 15:04:07.369340,98041849_5718871870,12.6,6,21
2025-11-27 15:04:07.548481,98041849_733429120,7.09,33,65
2025-11-27 15:04:07.750452,98041851_98041254,22.71,166,1047
2025-11-27 15:04:07.952371,98041851_2084132002,34.2,4,38
2025-11-27 15:04:08.170149,98042270_309816682,16.36,136,618
2025-11-27 15:04:08.363572,98042270_6677300866,16.15,66,296
2025-11-27 15:04:08.567727,106078638_6587651051,36.0,5,50
2025-11-27 15:04:08.765405,106078638_442990465,22.5,8,50
2025-11-27 15:04:09.006954,106108917_2174649904,8.26,17,39
2025-11-27 15:04:09.317045,106108917_2176926218,24.41,87,590
2025-11-27 15:04:09.563227,106111364_6644672135,18.29,25,127
2025-11-27 15:04:09.768796,106111364_446030797,12.86,261,932
2025-11-27 15:04:10.026366,283139229_444875375,10.29,7,20
2025-11-27 15:04:10.158019,283139229_5718871870,13.29,211,779
2025-11-27 15:04:10.396512,283139229_6650982900,27.0,6,45
2025-11-27 15:04:10.589706,283139237_5206119178,20.62,92,527
2025-11-27 15:04:10.844934,283139237_2188036136,23.51,32,209
2025-11-27 15:04:11.043306,308728680_1314203102,7.65,8,17
2025-11-27 15:04:11.311216,308728680_310729950,12.91,242,868
2025-11-27 15:04:11.505115,308728680_2289997644,17.2,27,129
2025-11-27 15:04:11.689716,309595522_6666479030,8.03,13,29
2025-11-27 15:04:11.878853,309685730_6677300866,11.6,9,29
2025-11-27 15:04:12.081077,309685730_2195296719,13.93,176,681
2025-11-27 15:04:12.230270,309685730_309816682,19.2,57,304
2025-11-27 15:04:12.368826,309816682_98042270,8.51,11,26
2025-11-27 15:04:12.557066,309816682_5718916274,14.22,78,308
2025-11-27 15:04:12.694557,309816683_98035472,9.19,65,166
2025-11-27 15:04:12.950181,309816683_10296445822,11.97,271,901
2025-11-27 15:04:13.219269,309816683_10296445824,15.75,8,35
2025-11-27 15:04:13.450394,310729950_6677364041,9.42,34,89
2025-11-27 15:04:13.581576,310729950_6677300866,5.85,24,39
2025-11-27 15:04:13.784440,317366886_444501629,6.87,11,21
2025-11-27 15:04:14.035789,317366886_4540453399,17.77,157,775
2025-11-27 15:04:14.228844,317778303_427847910,6.55,11,20
2025-11-27 15:04:14.430368,317778303_5716477056,28.46,42,332
2025-11-27 15:04:14.638337,319490613_1104490487,24.33,137,926
2025-11-27 15:04:14.832297,420456583_6621078251,24.92,13,90
2025-11-27 15:04:15.040190,420456583_13023100793,14.07,22,86
2025-11-27 15:04:15.222558,420456595_10965136434,2.1,24,14
2025-11-27 15:04:15.414886,420456595_4541071715,13.13,82,299
2025-11-27 15:04:15.554991,420456615_733429120,15.43,7,30
2025-11-27 15:04:15.758328,420456615_98041257,11.49,21,67
2025-11-27 15:04:15.972618,420456683_5710231827,6.38,319,565
2025-11-27 15:04:16.203741,420456683_5206119178,19.66,13,71
2025-11-27 15:04:16.386388,420456683_1878932244,17.5,29,141
2025-11-27 15:04:16.569784,420457653_11107112923,29.19,37,300
2025-11-27 15:04:16.764447,420460217_1878921396,19.91,292,1615
2025-11-27 15:04:17.029469,420460217_4004297090,2.45,110,75
2025-11-27 15:04:17.245751,420522002_6587550954,26.64,10,74
2025-11-27 15:04:17.468421,421080868_4961341856,9.6,12,32
2025-11-27 15:04:17.695182,421080868_12357580645,13.54,109,410
