time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,22.8,19.0,28.0,0.2,,,10.7,,1016.8,
2024-01-02,23.4,21.0,27.0,0.1,,,11.7,,1016.0,
2024-01-03,19.5,17.0,22.0,9.7,,,13.0,,1019.9,
2024-01-04,19.1,17.0,21.0,0.0,,,8.8,,1019.0,
2024-01-05,20.2,18.0,23.0,0.0,,,6.5,,1017.6,
2024-01-06,22.1,20.0,26.0,5.0,,,6.5,,1018.4,
2024-01-07,21.9,19.0,25.0,1.6,,,10.7,,1018.2,
2024-01-08,22.6,20.0,26.0,0.2,,,14.1,,1016.0,
2024-01-09,23.1,21.0,26.0,3.0,,,12.8,,1014.9,
2024-01-10,19.6,18.0,22.0,21.4,,,12.9,,1016.4,
2024-01-11,17.4,17.0,18.0,11.3,,,8.4,,1017.6,
2024-01-12,17.5,17.0,18.0,5.9,,,6.1,,1017.1,
2024-01-13,18.3,18.0,19.0,18.1,,,5.9,,1018.0,
2024-01-14,19.2,18.0,20.0,1.4,,,4.7,,1019.5,
2024-01-15,21.2,19.0,24.0,1.9,,,5.5,,1019.5,
2024-01-16,20.7,18.0,24.0,6.5,,,7.7,,1018.8,
2024-01-17,20.4,19.0,22.0,2.9,,,8.3,,1016.9,
2024-01-18,22.3,20.0,27.0,0.1,,,13.3,,1015.2,
2024-01-19,22.5,20.0,27.0,0.3,,,13.0,,1014.0,
2024-01-20,22.9,19.0,26.0,4.0,,,15.0,,1014.6,
2024-01-21,16.0,14.0,18.0,4.8,,,16.2,,1018.2,
2024-01-22,12.2,10.0,14.0,10.8,,,18.0,,1023.4,
2024-01-23,10.1,8.0,12.0,0.2,,,13.8,,1029.0,
2024-01-24,10.0,9.0,12.0,0.0,,,13.2,,1029.3,
2024-01-25,11.2,10.0,13.0,0.0,,,10.0,,1029.1,
2024-01-26,11.9,11.0,14.0,0.0,,,11.7,,1027.9,
2024-01-27,10.7,9.0,12.0,0.0,,,11.4,,1026.9,
2024-01-28,12.3,11.0,14.0,1.2,,,11.9,,1026.6,
2024-01-29,12.8,11.0,15.0,0.5,,,5.3,,1023.1,
2024-01-30,14.8,13.0,16.0,0.0,,,3.8,,1019.5,
2024-01-31,16.7,15.0,19.0,0.0,,,5.1,,1017.1,
2024-02-01,19.0,17.0,21.0,0.0,,,5.4,,1016.0,
2024-02-02,21.8,20.0,25.0,0.1,,,8.5,,1014.4,
2024-02-03,22.2,21.0,25.0,0.8,,,14.2,,1014.8,
2024-02-04,23.6,21.0,28.0,0.1,,,12.6,,1013.7,
2024-02-05,23.6,21.0,27.0,1.1,,,16.2,,1013.6,
2024-02-06,21.2,18.0,24.0,4.8,,,13.5,,1015.5,
2024-02-07,15.8,13.0,18.0,1.4,,,17.7,,1015.5,
2024-02-08,13.3,12.0,15.0,0.1,,,17.3,,1018.4,
2024-02-09,14.8,12.0,17.0,0.0,,,11.4,,1024.6,
2024-02-10,17.5,15.0,21.0,0.0,,,6.1,,1027.2,
2024-02-11,19.2,16.0,23.0,0.0,,,6.4,,1026.8,
2024-02-12,18.5,12.0,24.0,0.0,,,9.1,,1023.2,
2024-02-13,20.6,16.0,26.0,0.0,,,12.5,,1019.8,
2024-02-14,21.8,20.0,24.0,0.3,,,14.5,,1017.4,
2024-02-15,21.3,19.0,24.0,0.4,,,8.0,,1018.0,
2024-02-16,21.3,19.0,25.0,1.0,,,9.1,,1018.6,
2024-02-17,21.0,17.0,25.0,0.1,,,14.8,,1013.3,
2024-02-18,23.3,21.0,27.0,0.0,,,13.3,,1011.3,
2024-02-19,24.3,22.0,27.0,0.0,,,15.3,,1010.7,
2024-02-20,24.0,23.0,26.0,0.1,,,15.2,,1009.2,
2024-02-21,25.1,24.0,27.0,0.0,,,13.9,,1009.3,
2024-02-22,23.9,23.0,26.0,0.6,,,14.0,,1012.6,
2024-02-23,18.5,15.0,23.0,0.8,,,15.2,,1016.4,
2024-02-24,12.8,12.0,14.0,4.7,,,16.8,,1020.3,
2024-02-25,12.8,11.0,14.0,0.7,,,11.3,,1021.0,
2024-02-26,13.5,12.0,15.0,0.0,,,13.4,,1020.7,
2024-02-27,13.1,12.0,15.0,0.5,,,13.7,,1021.0,
2024-02-28,13.4,12.0,15.0,0.0,,,10.0,,1017.1,
2024-02-29,14.6,13.0,16.0,0.2,,,12.4,,1018.2,
2024-03-01,14.3,13.0,16.0,0.0,,,13.9,,1021.7,
2024-03-02,14.7,13.0,17.0,0.0,,,10.4,,1022.0,
2024-03-03,16.7,14.0,19.0,0.0,,,11.7,,1014.7,
2024-03-04,18.0,16.0,20.0,0.0,,,5.6,,1007.3,
2024-03-05,23.1,19.0,30.0,0.0,,,6.8,,1004.4,
2024-03-06,24.2,20.0,29.0,0.0,,,10.5,,1007.2,
2024-03-07,21.9,20.0,24.0,0.0,,,11.6,,1013.1,
2024-03-08,19.8,18.0,21.0,0.0,,,7.5,,1015.2,
2024-03-09,17.0,16.0,19.0,2.3,,,9.1,,1015.2,
2024-03-10,16.7,16.0,18.0,1.0,,,10.3,,1016.0,
2024-03-11,19.8,16.0,25.0,0.0,,,11.0,,1018.6,
2024-03-12,20.7,17.0,25.0,0.0,,,11.4,,1015.9,
2024-03-13,20.4,19.0,23.0,1.4,,,10.0,,1012.8,
2024-03-14,20.2,19.0,21.0,4.4,,,8.4,,1013.6,
2024-03-15,21.0,19.0,23.0,4.4,,,8.6,,1011.0,
2024-03-16,23.2,22.0,25.0,0.9,,,10.3,,1012.9,
2024-03-17,23.4,22.0,25.0,0.6,,,10.2,,1013.6,
2024-03-18,23.9,23.0,26.0,0.3,,,11.6,,1013.0,
2024-03-19,19.4,17.0,23.0,35.5,,,12.6,,1019.4,
2024-03-20,20.0,18.0,23.0,0.0,,,6.1,,1022.3,
2024-03-21,21.4,17.0,26.0,0.0,,,12.3,,1014.9,
2024-03-22,20.6,18.0,23.0,0.0,,,9.6,,1009.2,
2024-03-23,24.9,22.0,29.0,0.0,,,15.1,,1007.8,
2024-03-24,24.5,24.0,25.0,0.0,,,13.2,,1009.7,
2024-03-25,26.2,23.0,30.0,0.1,,,12.3,,1011.3,
2024-03-26,26.5,23.0,30.0,0.6,,,14.0,,1013.9,
2024-03-27,26.0,24.0,29.0,1.0,,,14.4,,1014.0,
2024-03-28,24.4,23.0,26.0,10.0,,,10.1,,1012.6,
2024-03-29,23.2,21.0,27.0,13.6,,,7.9,,1013.2,
2024-03-30,25.4,22.0,30.0,0.0,,,10.9,,1010.6,
2024-03-31,27.4,24.0,32.0,0.0,,,9.3,,1007.5,
2024-04-01,27.8,25.0,33.0,0.0,,,11.7,,1004.0,
2024-04-02,27.6,25.0,33.0,0.0,,,13.2,,1002.8,
2024-04-03,28.1,26.0,32.0,0.0,,,12.2,,1004.2,
2024-04-04,27.7,26.0,31.0,0.0,,,14.2,,1005.1,
2024-04-05,26.8,25.0,28.0,3.9,,,17.0,,1007.2,
2024-04-06,25.7,24.0,28.0,0.2,,,14.7,,1008.6,
2024-04-07,24.1,23.0,25.0,2.0,,,11.5,,1007.7,
2024-04-08,22.7,21.0,24.0,2.6,,,11.7,,1011.9,
2024-04-09,23.1,21.0,25.0,0.2,,,6.8,,1014.5,
2024-04-10,23.1,22.0,24.0,0.1,,,7.5,,1014.4,
2024-04-11,25.4,23.0,29.0,0.0,,,10.0,,1013.2,
2024-04-12,27.1,24.0,31.0,0.0,,,12.3,,1011.4,
2024-04-13,27.6,26.0,31.0,0.0,,,16.9,,1008.5,
2024-04-14,27.3,26.0,30.0,0.0,,,14.0,,1008.6,
